entry_id,observed_at,cow_id,herd_group,observation,issues,pta_milk,reliability,num_records,generation_interval,structured_at,source
23a3a219-732c-440b-a069-c0481a514ac8,1975-01-01,,Holstein,Year 1975: Holstein cohort. PTA milk -1237.65. Reliability 0.98. Num records 2825. Noticed reduced milk output.,reduced milk,-1237.65,0.98,2825.0,,2026-01-14T09:53:57.681163Z,rule_based
4e4b8525-05ed-4a71-9a86-e7bf4efa092d,1976-01-01,,Holstein,Year 1976: Holstein cohort. PTA milk -1378.67. Reliability 0.98. Num records 2948. Noticed reduced milk output.,reduced milk,-1378.67,0.98,2948.0,,2026-01-14T09:53:57.681188Z,rule_based
4246a0e0-7fbb-4179-8628-d3104190a655,1977-01-01,,Holstein,Year 1977: Holstein cohort. PTA milk -1361.88. Reliability 0.98. Num records 2594. Noticed reduced milk output.,reduced milk,-1361.88,0.98,2594.0,,2026-01-14T09:53:57.681202Z,rule_based
38f8148b-8bf9-417b-b859-3a2dccf00fed,1978-01-01,,Holstein,Year 1978: Holstein cohort. PTA milk -1121.39. Reliability 0.98. Num records 3981. Noticed reduced milk output.,reduced milk,-1121.39,0.98,3981.0,,2026-01-14T09:53:57.681212Z,rule_based
3220ac20-1632-4f1a-a055-d3b4983bed4a,1979-01-01,,Holstein,Year 1979: Holstein cohort. PTA milk -1461.56. Reliability 0.98. Num records 5588. Generation interval 3.01. Noticed reduced milk output.,reduced milk,-1461.56,0.98,5588.0,3.01,2026-01-14T09:53:57.681223Z,rule_based
b6a064d5-8842-4f87-8e98-0435a08cddbe,1980-01-01,,Holstein,Year 1980: Holstein cohort. PTA milk -1315.56. Reliability 0.98. Num records 3783. Generation interval 3.37. Noticed reduced milk output.,reduced milk,-1315.56,0.98,3783.0,3.37,2026-01-14T09:53:57.681233Z,rule_based
80a7b534-70fc-4e3f-bafa-58965c21f43c,1981-01-01,,Holstein,Year 1981: Holstein cohort. PTA milk -1005.97. Reliability 0.99. Num records 7476. Generation interval 4.79. Noticed reduced milk output.,reduced milk,-1005.97,0.99,7476.0,4.79,2026-01-14T09:53:57.681245Z,rule_based
bb79aca0-10f6-4eaf-96ad-88174f48004d,1982-01-01,,Holstein,Year 1982: Holstein cohort. PTA milk -1070.03. Reliability 0.97. Num records 3460. Generation interval 5.98. Noticed reduced milk output.,reduced milk,-1070.03,0.97,3460.0,5.98,2026-01-14T09:53:57.681256Z,rule_based
d176db94-5452-4553-95dd-d8e2847fadca,1983-01-01,,Holstein,Year 1983: Holstein cohort. PTA milk -955.32. Reliability 0.99. Num records 7042. Generation interval 7.01.,,-955.32,0.99,7042.0,7.01,2026-01-14T09:53:57.681266Z,rule_based
c18c9fb9-f503-438c-aff4-241f873a1c85,1984-01-01,,Holstein,Year 1984: Holstein cohort. PTA milk -994.39. Reliability 0.97. Num records 2673. Generation interval 7.58.,,-994.39,0.97,2673.0,7.58,2026-01-14T09:53:57.681276Z,rule_based
b743b626-73eb-4af8-9de5-47a345969b6b,1985-01-01,,Holstein,Year 1985: Holstein cohort. PTA milk -774.71. Reliability 0.99. Num records 7139. Generation interval 7.80.,,-774.71,0.99,7139.0,7.8,2026-01-14T09:53:57.681285Z,rule_based
9df6a218-dd39-4006-bbcf-51e3d8e34a27,1986-01-01,,Holstein,Year 1986: Holstein cohort. PTA milk -839.36. Reliability 0.98. Num records 9982. Generation interval 7.98.,,-839.36,0.98,9982.0,7.98,2026-01-14T09:53:57.681294Z,rule_based
ca533199-7e7f-42d3-a76f-d0bfd5e79941,1987-01-01,,Holstein,Year 1987: Holstein cohort. PTA milk -714.35. Reliability 0.97. Num records 3356. Generation interval 8.33.,,-714.35,0.97,3356.0,8.33,2026-01-14T09:53:57.681303Z,rule_based
be0d58ba-1194-413b-8273-544a048ef523,1988-01-01,,Holstein,Year 1988: Holstein cohort. PTA milk -690.28. Reliability 0.97. Num records 5639. Generation interval 8.26.,,-690.28,0.97,5639.0,8.26,2026-01-14T09:53:57.681312Z,rule_based
4f27460c-e50a-4abd-be87-40a4aa530680,1989-01-01,,Holstein,Year 1989: Holstein cohort. PTA milk -251.21. Reliability 0.97. Num records 7932. Generation interval 8.40.,,-251.21,0.97,7932.0,8.4,2026-01-14T09:53:57.681321Z,rule_based
393ca88b-f761-411c-b97d-fdab76da09d9,1990-01-01,,Holstein,Year 1990: Holstein cohort. PTA milk -590.70. Reliability 0.97. Num records 5677. Generation interval 7.86.,,-590.7,0.97,5677.0,7.86,2026-01-14T09:53:57.681331Z,rule_based
62201bfa-3481-4cdf-8fef-b80ad7dbc9cb,1991-01-01,,Holstein,Year 1991: Holstein cohort. PTA milk -296.73. Reliability 0.97. Num records 9153. Generation interval 7.47.,,-296.73,0.97,9153.0,7.47,2026-01-14T09:53:57.681340Z,rule_based
a0150040-6397-496e-b9de-611af882052a,1992-01-01,,Holstein,Year 1992: Holstein cohort. PTA milk -362.27. Reliability 0.96. Num records 6753. Generation interval 7.77.,,-362.27,0.96,6753.0,7.77,2026-01-14T09:53:57.681349Z,rule_based
776aa60a-8a82-4d4e-a32a-ebdcfc919063,1993-01-01,,Holstein,Year 1993: Holstein cohort. PTA milk -352.07. Reliability 0.95. Num records 4332. Generation interval 7.67.,,-352.07,0.95,4332.0,7.67,2026-01-14T09:53:57.681358Z,rule_based
c6b8c81c-cc4e-4683-81b3-61f7aada717b,1994-01-01,,Holstein,Year 1994: Holstein cohort. PTA milk -56.23. Reliability 0.97. Num records 9326. Generation interval 7.65.,,-56.23,0.97,9326.0,7.65,2026-01-14T09:53:57.681368Z,rule_based
