entry_id,observed_at,cow_id,herd_group,observation,issues,pta_milk,reliability,num_records,generation_interval,structured_at,source,issues_count,observation_length,filled_fields
23a3a219-732c-440b-a069-c0481a514ac8,1975-01-01,,Holstein,Year 1975: Holstein cohort. PTA milk -1237.65. Reliability 0.98. Num records 2825. Noticed reduced milk output.,reduced milk,-1237.65,0.98,2825.0,,2026-01-14T09:53:57.681163Z,rule_based,1,111,5
4e4b8525-05ed-4a71-9a86-e7bf4efa092d,1976-01-01,,Holstein,Year 1976: Holstein cohort. PTA milk -1378.67. Reliability 0.98. Num records 2948. Noticed reduced milk output.,reduced milk,-1378.67,0.98,2948.0,,2026-01-14T09:53:57.681188Z,rule_based,1,111,5
4246a0e0-7fbb-4179-8628-d3104190a655,1977-01-01,,Holstein,Year 1977: Holstein cohort. PTA milk -1361.88. Reliability 0.98. Num records 2594. Noticed reduced milk output.,reduced milk,-1361.88,0.98,2594.0,,2026-01-14T09:53:57.681202Z,rule_based,1,111,5
38f8148b-8bf9-417b-b859-3a2dccf00fed,1978-01-01,,Holstein,Year 1978: Holstein cohort. PTA milk -1121.39. Reliability 0.98. Num records 3981. Noticed reduced milk output.,reduced milk,-1121.39,0.98,3981.0,,2026-01-14T09:53:57.681212Z,rule_based,1,111,5
3220ac20-1632-4f1a-a055-d3b4983bed4a,1979-01-01,,Holstein,Year 1979: Holstein cohort. PTA milk -1461.56. Reliability 0.98. Num records 5588. Generation interval 3.01. Noticed reduced milk output.,reduced milk,-1461.56,0.98,5588.0,3.01,2026-01-14T09:53:57.681223Z,rule_based,1,137,6
b6a064d5-8842-4f87-8e98-0435a08cddbe,1980-01-01,,Holstein,Year 1980: Holstein cohort. PTA milk -1315.56. Reliability 0.98. Num records 3783. Generation interval 3.37. Noticed reduced milk output.,reduced milk,-1315.56,0.98,3783.0,3.37,2026-01-14T09:53:57.681233Z,rule_based,1,137,6
80a7b534-70fc-4e3f-bafa-58965c21f43c,1981-01-01,,Holstein,Year 1981: Holstein cohort. PTA milk -1005.97. Reliability 0.99. Num records 7476. Generation interval 4.79. Noticed reduced milk output.,reduced milk,-1005.97,0.99,7476.0,4.79,2026-01-14T09:53:57.681245Z,rule_based,1,137,6
bb79aca0-10f6-4eaf-96ad-88174f48004d,1982-01-01,,Holstein,Year 1982: Holstein cohort. PTA milk -1070.03. Reliability 0.97. Num records 3460. Generation interval 5.98. Noticed reduced milk output.,reduced milk,-1070.03,0.97,3460.0,5.98,2026-01-14T09:53:57.681256Z,rule_based,1,137,6
d176db94-5452-4553-95dd-d8e2847fadca,1983-01-01,,Holstein,Year 1983: Holstein cohort. PTA milk -955.32. Reliability 0.99. Num records 7042. Generation interval 7.01.,,-955.32,0.99,7042.0,7.01,2026-01-14T09:53:57.681266Z,rule_based,0,107,5
c18c9fb9-f503-438c-aff4-241f873a1c85,1984-01-01,,Holstein,Year 1984: Holstein cohort. PTA milk -994.39. Reliability 0.97. Num records 2673. Generation interval 7.58.,,-994.39,0.97,2673.0,7.58,2026-01-14T09:53:57.681276Z,rule_based,0,107,5
